STATE/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ANDHRA PRADESH,2933,3385,3559,3255,3117,3891,3383,3998,4504,4321,4016
HIMACHAL PRADESH,110,97,107,89,55,92,91,71,88,101,94
TAMIL NADU,2336,2097,1495,1156,1206,991,1743,1618,1312,1631,1391
A&N ISLANDS,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,158,125,76,126,277,339,538,598,631,577,636
TRIPURA,2,0,0,1,38,14,8,4,7,11,22
LAKSHADWEEP,0,1,0,0,0,0,0,0,0,0,0
DELHI,19,16,13,5,21,21,24,34,33,16,38
WEST BENGAL,10,4,5,14,12,13,4,19,21,63,59
KARNATAKA,1621,1787,1844,1643,1780,1730,1844,2392,2174,2505,2481
PUDUCHERRY,13,18,22,23,14,14,25,29,29,31,18
D & N HAVELI,0,0,0,0,2,2,0,1,1,0,1
MANIPUR,0,0,0,0,0,0,0,0,0,0,0
ASSAM,7,47,67,20,282,282,126,104,0,7,0
UTTARAKHAND,168,99,129,137,99,68,71,42,58,35,32
RAJASTHAN,4892,4535,4329,4360,3795,3910,4174,4302,4985,4979,5182
ODISHA,1734,1195,1157,1398,1439,1153,1355,1836,1709,1710,1455
MIZORAM,1,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,10,13,5,4,1,2,1,0,1,1,1
NAGALAND,1,17,25,0,0,5,0,0,0,0,0
SIKKIM,6,1,7,16,7,2,10,17,16,3,9
CHHATTISGARH,501,443,709,698,454,444,511,384,284,271,253
HARYANA,229,243,195,217,288,283,227,341,303,380,408
BIHAR,1303,1579,1747,2646,1824,2043,2786,3617,3836,3516,3623
DAMAN & DIU,0,0,0,0,2,1,0,0,2,0,0
GOA,1,2,2,0,2,4,0,4,3,1,4
KERALA,499,524,439,438,345,364,477,519,467,583,761
MAHARASHTRA,625,634,697,715,865,1053,1166,1192,1096,1132,1143
GUJARAT,1242,1370,1165,1309,1307,995,1040,1231,1182,1008,1063
CHANDIGARH,3,0,1,0,0,2,0,2,0,0,1
UTTAR PRADESH,10732,7927,2821,3785,4397,4960,6144,8009,7522,6272,7702
PUNJAB,134,131,127,134,140,184,177,101,108,115,90
ARUNACHAL PRADESH,0,0,0,0,2,0,0,0,0,0,0
MADHYA PRADESH,4212,7217,5507,4699,4356,4214,4106,2965,3040,3374,3245
