,STATE/UT,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,SumTot,HighCorr
0,A&N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0
1,ANDHRA PRADESH,609,1224,252,12,40,141,7907,15855,1517,19132,46689,2085
2,ARUNACHAL PRADESH,1,0,0,0,1,0,0,0,0,0,2,1
3,ASSAM,57,57,96,14,33,25,341,8,1,322,954,210
4,BIHAR,336,352,136,29,78,360,4813,29009,466,4483,40062,824
5,CHANDIGARH,0,2,0,0,0,0,0,8,0,5,15,2
6,CHHATTISGARH,123,716,50,1,14,18,792,925,24,2793,5456,889
7,D & N HAVELI,0,0,2,0,0,0,0,0,0,5,7,2
8,DAMAN & DIU,0,0,0,0,0,0,1,0,0,5,6,0
9,DELHI,1,0,0,0,0,0,0,267,6,10,284,1
10,Delhi UT,0,0,0,0,0,0,0,26,3,26,55,0
11,GOA,0,1,0,0,0,0,1,20,2,21,45,1
12,GUJARAT,233,400,339,94,230,125,3544,4183,55,5927,15130,972
13,HARYANA,150,578,258,2,12,34,533,866,3,1423,3859,986
14,HIMACHAL PRADESH,10,111,2,8,6,1,11,711,39,373,1272,123
15,JAMMU & KASHMIR,3,7,0,0,0,1,7,0,11,12,41,10
16,JHARKHAND,71,136,48,16,2,23,1182,2534,19,1724,5755,255
17,KARNATAKA,333,396,81,20,21,21,2188,15153,493,8266,26972,810
18,KERALA,38,897,25,5,10,22,2298,1165,4,2518,6982,960
19,LAKSHADWEEP,0,1,0,0,0,0,0,0,0,0,1,1
20,MADHYA PRADESH,1139,4504,582,9,97,471,10810,2857,11,32275,52755,6225
21,MAHARASHTRA,283,1158,184,148,119,119,933,3487,399,6257,13087,1625
22,MANIPUR,0,1,0,0,0,0,0,0,0,0,1,1
23,MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0
24,MIZORAM,0,0,0,0,1,0,0,0,0,0,1,0
25,NAGALAND,12,6,1,0,0,0,0,0,0,29,48,19
26,ODISHA,177,673,157,19,67,190,3927,11496,18,4274,20998,1007
27,PUDUCHERRY,4,1,1,0,0,0,5,16,246,8,281,6
28,PUNJAB,39,137,26,0,1,0,171,718,5,541,1638,202
29,RAJASTHAN,706,2203,418,1,34,507,6558,8051,7,42992,61477,3327
30,SIKKIM,8,17,10,0,5,2,42,3,0,18,105,35
31,TAMIL NADU,380,287,67,5,25,95,2529,12179,501,4400,20468,734
32,TRIPURA,7,18,7,0,1,1,77,8,0,112,231,32
33,UTTAR PRADESH,3799,4016,2529,57,217,744,5191,28225,501,38272,83551,10344
34,UTTARAKHAND,55,72,31,0,1,4,168,629,0,45,1005,158
35,WEST BENGAL,2,21,3,0,0,2,28,146,1,221,424,26
